"","employees","salaries_for_2017","annual_salary_adjustments","salaries_for_2018","got_raise"
"1","Employee 1",45578.8595951162,-1394.07072216272,44184.7888729535,FALSE
"2","Employee 2",48152.7918041684,-2626.84083194472,45525.9509722237,FALSE
"3","Employee 3",45327.271593269,9413.60426833853,54740.8758616075,TRUE
"4","Employee 4",41750.492178835,6777.47743437067,48527.9696132056,TRUE
"5","Employee 5",46807.2102521546,-2604.2408705689,44202.9693815857,FALSE
"6","Employee 6",42225.3397712484,-3145.84429492243,39079.495476326,FALSE
"7","Employee 7",42909.4669735059,-4901.97394276038,38007.4930307455,FALSE
"8","Employee 8",45438.7551499531,-2186.33904354647,43252.4161064066,FALSE
"9","Employee 9",42322.8072235361,1887.28177803569,44210.0890015718,TRUE
"10","Employee 10",47413.4655739181,5639.13230667822,53052.5978805963,TRUE
"11","Employee 11",47487.1972878464,5583.81573064253,53071.0130184889,TRUE
"12","Employee 12",42351.4475207776,6109.97575684451,48461.4232776221,TRUE
"13","Employee 13",46233.4030913189,7697.39748910069,53930.8005804196,TRUE
"14","Employee 14",41369.2603143863,-431.503324070945,40937.7569903154,FALSE
"15","Employee 15",46439.3606106751,7656.37189731933,54095.7325079944,TRUE
"16","Employee 16",46635.0540821441,4815.36949402653,51450.4235761706,TRUE
"17","Employee 17",42455.0923937932,2678.03456052206,45133.1269543152,TRUE
"18","Employee 18",46114.0825180337,1729.32856716216,47843.4110851958,TRUE
"19","Employee 19",40213.00843684,3381.13502948545,43594.1434663255,TRUE
"20","Employee 20",43387.4084381387,-657.166973687708,42730.241464451,FALSE
"21","Employee 21",44119.9941677041,1405.41466185823,45525.4088295624,TRUE
"22","Employee 22",41291.9417861849,6208.12427368946,47500.0660598744,TRUE
"23","Employee 23",41802.8895533644,3211.50024654344,45014.3897999078,TRUE
"24","Employee 24",44346.2610128336,-806.61816871725,43539.6428441163,FALSE
"25","Employee 25",48551.7950542271,605.876352638006,49157.6714068651,TRUE
"26","Employee 26",40258.4256930277,5485.98066554405,45744.4063585717,TRUE
"27","Employee 27",46035.507498309,-3065.58639509603,42969.921103213,FALSE
"28","Employee 28",42824.8477610759,4683.57560923323,47508.4233703092,TRUE
"29","Employee 29",47988.8011398725,-438.563994830474,47550.237145042,FALSE
"30","Employee 30",49466.5910676122,1090.89409699664,50557.4851646088,TRUE
"31","Employee 31",48985.3582018986,-1287.42376924492,47697.9344326537,FALSE
"32","Employee 32",44637.9983006045,3038.96741359495,47676.9657141995,TRUE
"33","Employee 33",48913.3836701512,-3814.69229818322,45098.691371968,FALSE
"34","Employee 34",43816.2443554029,-4741.42487393692,39074.819481466,FALSE
"35","Employee 35",48842.3224561848,9350.0795844011,58192.4020405859,TRUE
"36","Employee 36",47011.4126917906,3625.58115506545,50636.9938468561,TRUE
"37","Employee 37",44673.8872630522,7124.93834784254,51798.8256108947,TRUE
"38","Employee 38",49633.4410365671,6705.30143193901,56338.7424685061,TRUE
"39","Employee 39",41453.0823077075,2839.60234490223,44292.6846526098,TRUE
"40","Employee 40",42179.3117560446,-1537.25942363963,40642.052332405,FALSE
"41","Employee 41",40939.4345944747,9520.7552111242,50460.1898055989,TRUE
"42","Employee 42",45513.4517443366,407.561847241595,45921.0135915782,TRUE
"43","Employee 43",47753.8433088921,8153.623273829,55907.4665827211,TRUE
"44","Employee 44",43748.8740473054,3757.25520309061,47506.129250396,TRUE
"45","Employee 45",49516.6836003773,-3370.36882992834,46146.314770449,FALSE
"46","Employee 46",41299.5531759225,2465.8633756917,43765.4165516142,TRUE
"47","Employee 47",40715.8063165843,8540.55577772669,49256.362094311,TRUE
"48","Employee 48",43159.9814188667,1629.44244686514,44789.4238657318,TRUE
"49","Employee 49",47925.5213122815,797.977437032387,48723.4987493139,TRUE
"50","Employee 50",42477.9319576919,-4582.94505951926,37894.9868981726,FALSE
"51","Employee 51",47671.2093013339,1562.51663458534,49233.7259359192,TRUE
"52","Employee 52",45738.6732893065,-266.238229814917,45472.4350594915,FALSE
"53","Employee 53",44694.9279168621,7888.63577530719,52583.5636921693,TRUE
"54","Employee 54",47700.5829731934,-434.503790456802,47266.0791827366,FALSE
"55","Employee 55",41143.8243021257,5487.5764332246,46631.4007353503,TRUE
"56","Employee 56",46632.7618691139,-2353.92997623421,44278.8318928797,FALSE
"57","Employee 57",44472.4386744201,2597.17310778797,47069.6117822081,TRUE
"58","Employee 58",41746.4041872881,1120.1017186977,42866.5059059858,TRUE
"59","Employee 59",46712.6878001727,732.492589158937,47445.1803893317,TRUE
"60","Employee 60",45972.9989431798,5982.18458355404,51955.1835267339,TRUE
"61","Employee 61",44268.8488983549,315.887107281014,44584.7360056359,TRUE
"62","Employee 62",45465.8156540245,9827.71776849404,55293.5334225185,TRUE
"63","Employee 63",46274.2851511575,3532.98433241434,49807.2694835719,TRUE
"64","Employee 64",46535.351164639,3173.08261757717,49708.4337822162,TRUE
"65","Employee 65",44044.8580007069,-2521.86155645177,41522.9964442551,FALSE
"66","Employee 66",48786.9969638996,9524.36337247491,58311.3603363745,TRUE
"67","Employee 67",46984.6141152084,6132.98064097762,53117.594756186,TRUE
"68","Employee 68",44876.1687264778,-965.914328116924,43910.2543983608,FALSE
"69","Employee 69",42282.2276479565,1424.17915165424,43706.4067996107,TRUE
"70","Employee 70",40302.7632413432,1976.08523420058,42278.8484755438,TRUE
"71","Employee 71",41107.1704211645,-3764.82688589022,37342.3435352743,FALSE
"72","Employee 72",47897.6612840779,-3873.1561426539,44024.505141424,FALSE
"73","Employee 73",48134.9475914612,-2244.27799228579,45890.6695991755,FALSE
"74","Employee 74",47571.558393538,-3769.41861468367,43802.1397788543,FALSE
"75","Employee 75",42602.8281566687,5785.44642077759,48388.2745774463,TRUE
"76","Employee 76",48987.1403970756,-4330.76433720998,44656.3760598656,FALSE
"77","Employee 77",49997.9726807214,6193.25160281733,56191.2242835388,TRUE
"78","Employee 78",43418.7103365548,-3153.31415622495,40265.3961803298,FALSE
"79","Employee 79",46161.58450488,6356.12447396852,52517.7089788485,TRUE
"80","Employee 80",42792.8132773377,-3260.40378888138,39532.4094884563,FALSE
"81","Employee 81",41937.2232677415,-717.781177954748,41219.4420897868,FALSE
"82","Employee 82",45994.6649218909,295.92118691653,46290.5861088075,TRUE
"83","Employee 83",42679.450714495,2759.68095404096,45439.131668536,TRUE
"84","Employee 84",47399.6329167858,-583.23031058535,46816.4026062004,FALSE
"85","Employee 85",41639.9071295746,8707.97739946283,50347.8845290374,TRUE
"86","Employee 86",46439.8333616555,3540.55359610356,49980.386957759,TRUE
"87","Employee 87",45590.661871247,3433.49850736558,49024.1603786126,TRUE
"88","Employee 88",42221.5130575933,7137.68031448126,49359.1933720745,TRUE
"89","Employee 89",49273.1767031364,2783.30071014352,52056.4774132799,TRUE
"90","Employee 90",47160.8120761812,5362.54631821066,52523.3583943918,TRUE
"91","Employee 91",42950.0443232246,4554.94391964749,47504.9882428721,TRUE
"92","Employee 92",44209.9660099484,-3602.26663178764,40607.6993781608,FALSE
"93","Employee 93",44902.0807887428,4484.03566260822,49386.116451351,TRUE
"94","Employee 94",48388.6139048263,9265.27931471355,57653.8932195399,TRUE
"95","Employee 95",41097.3363881931,-3203.09403818101,37894.2423500121,FALSE
"96","Employee 96",43983.4676799364,-4930.16283493489,39053.3048450015,FALSE
"97","Employee 97",49293.6357855797,-889.120770152658,48404.515015427,FALSE
"98","Employee 98",45637.5267263502,7154.11538956687,52791.6421159171,TRUE
"99","Employee 99",40036.9301415049,-3572.92976463214,36464.0003768727,FALSE
"100","Employee 100",46949.483754579,-2091.20119456202,44858.282560017,FALSE
